id,factory_no,machine_no,serial_no,part_no,status,timestamp
2000,55203,23970,1738342CL3R0156661577860220,a42CL5R,beta_engine,1012008840
2001,190331,11973,3310242CL5R0156661577860220,a42CL6R,beta_engine,1034079780
2002,54451,9382,5419842CL6R0156661577860220,a42CL9R,beta_engine,1009173420
2003,33229,11406,1208442CL7R0156661577860220,a42CL5R,beta_engine,1034377500
2004,103151,12698,3279542CL5R0156661577860220,a42CL3R,beta_engine,1007373720
2005,63477,12734,3604342CL3R0156661577860220,a42CL6R,beta_engine,1013978700
2006,97187,42624,3374142CL4R0156661577860220,a42CL2R,beta_engine,1006434780
2007,30614,7153,4699142CL9R0156661577860220,a42CL8R,beta_engine,988046280
2008,83437,24522,3487942CL4R0156661577860220,a42CL8R,beta_engine,999810360
2009,142915,9409,5800942CL5R0156661577860220,a42CL5R,beta_engine,1027720260
2010,383272,29695,1975742CL7R0156661577860220,a42CL2R,beta_engine,1029073320
2011,85196,8152,5235642CL8R0156661577860220,a42CL6R,beta_engine,991573380
2012,419834,10214,6070642CL6R0156661577860220,a42CL2R,beta_engine,1021834500
2013,286762,31475,369542CL1R0156661577860220,a42CL6R,beta_engine,997311120
2014,186078,11758,4841342CL4R0156661577860220,a42CL8R,beta_engine,994181580
2015,168666,28433,5596742CL6R0156661577860220,a42CL2R,beta_engine,987984900
2016,115587,10281,6023242CL5R0156661577860220,a42CL7R,beta_engine,980427120
2017,279522,18165,500142CL7R0156661577860220,a42CL7R,beta_engine,1015922760
2018,77304,40894,4775342CL6R0156661577860220,a42CL3R,beta_engine,1022811240
2019,163436,26357,6047242CL5R0156661577860220,a42CL8R,beta_engine,1001648160
2020,124811,55155,2773142CL9R0156661577860220,a42CL6R,beta_engine,982228920
2021,130537,8473,4520042CL5R0156661577860220,a42CL6R,beta_engine,992086560
2022,84568,7916,5628042CL5R0156661577860220,a42CL5R,beta_engine,996300480
2023,109459,10001,2892042CL9R0156661577860220,a42CL6R,beta_engine,998642220
2024,29620,27595,5193342CL1R0156661577860220,a42CL9R,beta_engine,987553860
