id,factory_no,machine_no,serial_no,part_no,timestamp,status
2000,55203,23970,1738342CL3R0156661577860220,a42CL5R,2002-01-26T01:34:00.000Z,beta_engine
2001,190331,11973,3310242CL5R0156661577860220,a42CL6R,2002-10-08T12:23:00.000Z,beta_engine
2002,54451,9382,5419842CL6R0156661577860220,a42CL9R,2001-12-24T05:57:00.000Z,beta_engine
2003,33229,11406,1208442CL7R0156661577860220,a42CL5R,2002-10-11T23:05:00.000Z,beta_engine
2004,103151,12698,3279542CL5R0156661577860220,a42CL3R,2001-12-03T10:02:00.000Z,beta_engine
2005,63477,12734,3604342CL3R0156661577860220,a42CL6R,2002-02-17T20:45:00.000Z,beta_engine
2006,97187,42624,3374142CL4R0156661577860220,a42CL2R,2001-11-22T13:13:00.000Z,beta_engine
2007,30614,7153,4699142CL9R0156661577860220,a42CL8R,2001-04-23T17:18:00.000Z,beta_engine
2008,83437,24522,3487942CL4R0156661577860220,a42CL8R,2001-09-06T21:06:00.000Z,beta_engine
2009,142915,9409,5800942CL5R0156661577860220,a42CL5R,2002-07-26T21:51:00.000Z,beta_engine
2010,383272,29695,1975742CL7R0156661577860220,a42CL2R,2002-08-11T13:42:00.000Z,beta_engine
2011,85196,8152,5235642CL8R0156661577860220,a42CL6R,2001-06-03T13:03:00.000Z,beta_engine
2012,419834,10214,6070642CL6R0156661577860220,a42CL2R,2002-05-19T18:55:00.000Z,beta_engine
2013,286762,31475,369542CL1R0156661577860220,a42CL6R,2001-08-08T22:52:00.000Z,beta_engine
2014,186078,11758,4841342CL4R0156661577860220,a42CL8R,2001-07-03T17:33:00.000Z,beta_engine
2015,168666,28433,5596742CL6R0156661577860220,a42CL2R,2001-04-23T00:15:00.000Z,beta_engine
2016,115587,10281,6023242CL5R0156661577860220,a42CL7R,2001-01-25T12:52:00.000Z,beta_engine
2017,279522,18165,500142CL7R0156661577860220,a42CL7R,2002-03-12T08:46:00.000Z,beta_engine
2018,77304,40894,4775342CL6R0156661577860220,a42CL3R,2002-05-31T02:14:00.000Z,beta_engine
2019,163436,26357,6047242CL5R0156661577860220,a42CL8R,2001-09-28T03:36:00.000Z,beta_engine
2020,124811,55155,2773142CL9R0156661577860220,a42CL6R,2001-02-15T09:22:00.000Z,beta_engine
2021,130537,8473,4520042CL5R0156661577860220,a42CL6R,2001-06-09T11:36:00.000Z,beta_engine
2022,84568,7916,5628042CL5R0156661577860220,a42CL5R,2001-07-28T06:08:00.000Z,beta_engine
2023,109459,10001,2892042CL9R0156661577860220,a42CL6R,2001-08-24T08:37:00.000Z,beta_engine
2024,29620,27595,5193342CL1R0156661577860220,a42CL9R,2001-04-18T00:31:00.000Z,beta_engine
2025,424751,4677,5365642CL4R0156661577860220,a42CL9R,2001-10-18T07:16:00.000Z,beta_engine
2026,67786,3740,955242CL7R0156661577860220,a42CL3R,2001-12-08T10:15:00.000Z,beta_engine
2027,195901,18507,1952742CL4R0156661577860220,a42CL1R,2002-08-15T07:46:00.000Z,beta_engine
2028,98562,9668,1285242CL9R0156661577860220,a42CL3R,2001-06-26T23:49:00.000Z,beta_engine
2029,41173,31201,1081242CL2R0156661577860220,a42CL2R,2001-08-29T00:07:00.000Z,beta_engine
2030,122753,9156,3592742CL5R0156661577860220,a42CL7R,2001-03-28T19:56:00.000Z,beta_engine
2031,10953,34513,4572542CL5R0156661577860220,a42CL8R,2001-04-27T17:51:00.000Z,beta_engine
2032,205341,35831,4766442CL6R0156661577860220,a42CL2R,2002-08-06T08:45:00.000Z,beta_engine
2033,35641,21389,4433742CL5R0156661577860220,a42CL9R,2001-05-02T06:11:00.000Z,beta_engine
2034,204564,16069,497042CL2R0156661577860220,a42CL5R,2001-10-07T07:08:00.000Z,beta_engine
2035,124715,8578,2510342CL2R0156661577860220,a42CL1R,2002-10-17T05:45:00.000Z,beta_engine
2036,116518,22080,587042CL6R0156661577860220,a42CL3R,2001-09-20T13:53:00.000Z,beta_engine
2037,45240,7095,3611342CL6R0156661577860220,a42CL3R,2001-10-10T09:06:00.000Z,beta_engine
2038,315770,32649,1460642CL2R0156661577860220,a42CL1R,2001-10-26T03:29:00.000Z,beta_engine
2039,54810,10501,856242CL8R0156661577860220,a42CL5R,2002-07-20T00:00:00.000Z,beta_engine
2040,118182,30751,1663642CL4R0156661577860220,a42CL2R,2002-07-03T08:23:00.000Z,beta_engine
2041,46666,4375,3129442CL6R0156661577860220,a42CL6R,2001-06-14T17:23:00.000Z,beta_engine
2042,33577,33925,6346642CL1R0156661577860220,a42CL2R,2001-09-29T01:39:00.000Z,beta_engine
2043,272400,8792,3425842CL3R0156661577860220,a42CL3R,2001-10-07T06:03:00.000Z,beta_engine
2044,109801,53621,4846742CL3R0156661577860220,a42CL2R,2001-10-24T20:13:00.000Z,beta_engine
2045,105799,8309,4526742CL4R0156661577860220,a42CL5R,2002-04-25T14:32:00.000Z,beta_engine
2046,38863,19172,918342CL8R0156661577860220,a42CL3R,2001-03-29T01:53:00.000Z,beta_engine
2047,113971,33872,6435342CL9R0156661577860220,a42CL1R,2001-11-14T13:08:00.000Z,beta_engine
2048,89178,13730,172042CL3R0156661577860220,a42CL5R,2002-03-10T12:09:00.000Z,beta_engine
2049,329795,14794,3476542CL7R0156661577860220,a42CL2R,2002-09-18T08:15:00.000Z,beta_engine
2050,170830,42484,5174242CL7R0156661577860220,a42CL1R,2002-05-23T12:51:00.000Z,beta_engine
2051,78665,19423,1703542CL4R0156661577860220,a42CL5R,2001-07-16T18:01:00.000Z,beta_engine
2052,164469,5223,116142CL4R0156661577860220,a42CL6R,2001-06-22T09:19:00.000Z,beta_engine
2053,70794,12887,2461342CL8R0156661577860220,a42CL9R,2001-11-15T04:15:00.000Z,beta_engine
2054,109683,17425,1853142CL3R0156661577860220,a42CL7R,2002-02-16T23:03:00.000Z,beta_engine
2055,89747,6760,6108442CL5R0156661577860220,a42CL7R,2002-05-26T05:26:00.000Z,beta_engine
2056,354149,5978,2472742CL1R0156661577860220,a42CL7R,2001-09-14T22:30:00.000Z,beta_engine
2057,264474,14277,5787942CL1R0156661577860220,a42CL4R,2001-11-12T06:58:00.000Z,beta_engine
2058,123071,10105,2178742CL5R0156661577860220,a42CL7R,2001-04-09T19:37:00.000Z,beta_engine
2059,130771,19970,5731542CL1R0156661577860220,a42CL4R,2001-03-24T21:16:00.000Z,beta_engine
2060,491143,10362,2706042CL5R0156661577860220,a42CL5R,2002-06-12T16:28:00.000Z,beta_engine
