id,country_code,state,postalcode,latitude,longitude
39130,US,Alabama,45588,-57.00,156.00
39131,US,Arkansas,71327,-88.00,14.00
39132,US,California,79090,-65.00,-105.00
39133,US,Alaska,21845,-51.00,23.00
39134,US,Arizona,41886,-81.00,34.00
39135,US,Alaska,61106,-60.00,-59.00
39136,US,Arkansas,42156,-82.00,140.00
39137,US,Alabama,69668,-17.00,155.00
39138,US,Alaska,61457,-84.00,34.00
39139,US,Alabama,58281,-73.00,-78.00
39140,US,Arkansas,51302,-87.00,-128.00
39141,US,Alaska,36428,-88.00,-80.00
39142,US,California,38966,-89.00,117.00
39143,US,Alaska,59867,-68.00,-155.00
39144,US,Arizona,57713,-74.00,174.00
39145,US,Arkansas,72380,-86.00,-128.00
39146,US,Arizona,52636,-81.00,-115.00
39147,US,Alaska,66050,-72.00,-58.00
39148,US,Alaska,50336,-77.00,-176.00
39149,US,Alaska,59977,-88.00,-145.00
39150,US,Alaska,68161,-90.00,7.00
39151,US,Arizona,69916,-74.00,-159.00
39152,US,California,62996,-74.00,175.00
39153,US,Alaska,76792,-87.00,-152.00
39154,US,Alabama,46370,-38.00,-123.00
39155,US,Alabama,59729,-59.00,-55.00
39156,US,Alaska,60423,-77.00,153.00
39157,US,Arizona,55980,-86.00,-49.00
39158,US,Arizona,73922,-89.00,162.00
39159,US,Arizona,45216,-88.00,-88.00
39160,US,Alaska,60148,-85.00,-103.00
39161,US,Alaska,49104,-83.00,-95.00
39162,US,Arkansas,72192,-70.00,101.00
39163,US,Alaska,54103,-84.00,130.00
39164,US,Alabama,54211,-74.00,7.00
39165,US,Alabama,55576,-75.00,131.00
39166,US,Alaska,63166,-67.00,-113.00
39167,US,Arizona,68416,-76.00,-178.00
39168,US,Alaska,43790,-89.00,1.00
39169,US,Alaska,46485,-77.00,-34.00
39170,US,Arkansas,50462,-87.00,73.00
39171,US,Alaska,69293,-76.00,13.00
39172,US,Connecticut,54197,-74.00,114.00
39173,US,Alaska,70717,-80.00,-65.00
39174,US,Alaska,51300,-75.00,-37.00
39175,US,Arizona,62307,-83.00,94.00
39176,US,Arizona,64503,-50.00,10.00
39177,US,Alaska,49732,-85.00,65.00
39178,US,Alaska,86013,-77.00,-120.00
39179,US,Alaska,57292,-38.00,86.00
39180,US,Alaska,59848,-82.00,128.00
39181,US,Alaska,50855,-75.00,99.00
39182,US,Arizona,53802,-51.00,80.00
39183,US,Alaska,59827,-71.00,80.00
39184,US,Arizona,45771,-75.00,101.00
39185,US,Arizona,36741,-85.00,-174.00
39186,US,Alaska,33904,-84.00,-110.00
39187,US,Alaska,41944,-74.00,-77.00
39188,US,Alaska,54119,-77.00,84.00
39189,US,Alaska,32207,-90.00,2.00
39190,US,Alaska,56806,-76.00,-146.00
39191,US,Alaska,73416,-76.00,169.00
39192,US,Alabama,50115,-64.00,56.00
39193,US,Alabama,45813,-87.00,63.00
39194,US,Alaska,43524,-74.00,18.00
39195,US,Arizona,45574,-81.00,95.00
39196,US,Alaska,63046,-83.00,-136.00
39197,US,Alaska,48901,-78.00,-115.00
39198,US,Arizona,55652,-78.00,174.00
39199,US,Arizona,35652,-79.00,-159.00
39200,US,Alabama,50361,-74.00,-83.00
39201,US,Alaska,56241,-76.00,-81.00
39202,US,Alaska,57720,-55.00,180.00
39203,US,Alabama,52462,-86.00,-59.00
39204,US,Alabama,29837,-81.00,114.00
39205,US,Alabama,40720,-83.00,-100.00
39206,US,Arkansas,51876,-81.00,-117.00
39207,US,Alabama,63600,-84.00,-155.00
39208,US,Alaska,32064,-77.00,-119.00
39209,US,Alabama,50764,-88.00,18.00
39210,US,Alaska,58631,-81.00,-148.00
39211,US,Alaska,57344,-67.00,110.00
39212,US,Arizona,35376,-89.00,137.00
39213,US,Arizona,66199,-71.00,39.00
39214,US,Alabama,58369,-81.00,-126.00
39215,US,Alabama,37877,-88.00,-137.00
39216,US,Alaska,85503,-86.00,2.00
39217,US,Alabama,58759,-79.00,161.00
39218,US,Arkansas,64368,-51.00,38.00
39219,US,Alabama,60802,-77.00,-76.00
39220,US,Arizona,57498,-86.00,-168.00
39221,US,Alaska,38065,-76.00,-137.00
39222,US,Alaska,65014,-60.00,-50.00
39223,US,Alaska,71310,-87.00,-43.00
39224,US,Alabama,57366,-87.00,112.00
39225,US,Alaska,43615,-74.00,135.00
39226,US,Alabama,63178,-60.00,74.00
39227,US,Alabama,45519,-87.00,123.00
39228,US,Alabama,56791,-58.00,8.00
39229,US,Alaska,55289,-78.00,-11.00
39230,US,Arizona,64497,-76.00,-104.00
39231,US,Arkansas,47903,-70.00,135.00
39232,US,Alabama,53905,-90.00,-147.00
39233,US,Arizona,69401,-88.00,-171.00
39234,US,Alaska,54990,-89.00,-94.00
39235,US,Arkansas,69853,-79.00,36.00
39236,US,Arizona,66095,-63.00,-160.00
39237,US,Alabama,66732,-85.00,-141.00
39238,US,Alaska,57066,-84.00,-149.00
39239,US,Alaska,48978,-90.00,9.00
